file_path,dataset,speaker_id,ground_truth_raw,ground_truth_4class,e2v_raw,e2v_4class,e2v_correct,e2v_conf_top,mean_f0,std_f0,min_f0,max_f0,energy,speech_rate,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M001.wav,iemocap,Ses01F,neutral,neutral,SAD,sad,FALSE,,141.0470215,88.0121357,105.6180476,562.3113754,0.005876033,0.12972973,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M002.wav,iemocap,Ses01F,neutral,neutral,ANGRY,angry,FALSE,,158.9995739,45.68949535,85.13404508,244.4756345,0.028181493,0.519298246,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M003.wav,iemocap,Ses01F,neutral,neutral,HAPPY,happy,FALSE,,166.1607252,43.5464752,85.95798507,489.8147299,0.055675708,0.662251656,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M004.wav,iemocap,Ses01F,neutral,neutral,ANGRY,angry,FALSE,,205.1600505,61.76913693,76.54286029,514.1384771,0.075979024,0.625899281,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M005.wav,iemocap,Ses01F,neutral,neutral,ANGRY,angry,FALSE,,205.7224953,56.79190801,102.8414821,563.3201802,0.068953976,0.577255871,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M006.wav,iemocap,Ses01F,neutral,neutral,ANGRY,angry,FALSE,,194.5005495,50.14187488,83.44647615,596.3804592,0.082441881,0.729020979,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M007.wav,iemocap,Ses01F,neutral,neutral,ANGRY,angry,FALSE,,176.7233494,58.10704723,87.10519574,389.6982659,0.063271359,0.659677419,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M008.wav,iemocap,Ses01F,neutral,neutral,ANGRY,angry,FALSE,,182.3615104,51.31382971,88.6636576,256.4678617,0.054790601,0.409610984,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M009.wav,iemocap,Ses01F,neutral,neutral,HAPPY,happy,FALSE,,227.7219331,118.9810473,101.5682595,591.6933863,0.047298878,0.462466488,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M010.wav,iemocap,Ses01F,neutral,neutral,ANGRY,angry,FALSE,,175.6543649,36.34176271,86.14336697,265.675399,0.066457711,0.684090909,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M011.wav,iemocap,Ses01F,angry,angry,ANGRY,angry,TRUE,,191.1321409,87.32512623,92.23397666,558.0203382,0.051264752,0.493055556,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M013.wav,iemocap,Ses01F,angry,angry,ANGRY,angry,TRUE,,266.6763792,53.36234043,117.6000704,389.6674299,0.146475539,0.602671119,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F000.wav,iemocap,Ses01F,sad,sad,SAD,sad,TRUE,,212.5374617,93.86100489,76.69859641,593.3012375,0.004764279,0.150537634,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F001.wav,iemocap,Ses01F,sad,sad,SAD,sad,TRUE,,189.8861348,75.42522073,153.9472705,582.847481,0.004423973,0.189655172,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F002.wav,iemocap,Ses01F,sad,sad,SAD,sad,TRUE,,198.9981979,77.71855853,151.2778692,567.3885435,0.008077038,0.328646749,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F003.wav,iemocap,Ses01F,neutral,neutral,SAD,sad,FALSE,,178.497024,47.8902594,79.37079514,486.2034252,0.0079711,0.322064057,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F004.wav,iemocap,Ses01F,sad,sad,SAD,sad,TRUE,,190.7828675,73.42074078,136.8610402,513.3824024,0.00713648,0.317626527,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F005.wav,iemocap,Ses01F,sad,sad,SAD,sad,TRUE,,180.4617964,59.86494494,77.76630012,244.9319344,0.008088424,0.166007905,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F006.wav,iemocap,Ses01F,neutral,neutral,HAPPY,happy,FALSE,,174.4744713,32.96166122,77.26174882,263.1838873,0.012443716,0.461722488,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F008.wav,iemocap,Ses01F,sad,sad,HAPPY,happy,FALSE,,173.8847793,28.3155427,78.50512756,237.6968801,0.006951737,0.249350649,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F010.wav,iemocap,Ses01F,sad,sad,SAD,sad,TRUE,,152.0914451,28.43002696,74.9946546,198.5727439,0.004723747,0.208530806,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F012.wav,iemocap,Ses01F,sad,sad,SAD,sad,TRUE,,194.1012163,60.9434663,157.6959833,563.9975447,0.007365397,0.34,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F013.wav,iemocap,Ses01F,sad,sad,SAD,sad,TRUE,,193.2419941,24.84752717,149.1259025,243.6489087,0.009000774,0.200328407,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F014.wav,iemocap,Ses01F,sad,sad,SAD,sad,TRUE,,255.7475685,65.35165634,99.94035131,522.2139174,0.008969741,0.252374491,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F015.wav,iemocap,Ses01F,sad,sad,SAD,sad,TRUE,,235.9435281,58.75826086,186.1853159,587.0244888,0.007503838,0.261971831,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F016.wav,iemocap,Ses01F,neutral,neutral,NEUTRAL,neutral,TRUE,,182.7247874,12.8992523,163.3575308,231.4515782,0.005632246,0.23255814,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F017.wav,iemocap,Ses01F,sad,sad,HAPPY,happy,FALSE,,225.7191056,34.94869798,133.3818558,392.1132836,0.022937028,0.498489426,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F018.wav,iemocap,Ses01F,neutral,neutral,HAPPY,happy,FALSE,,189.9841956,26.96547507,106.5064464,251.550585,0.007521229,0.281456954,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F019.wav,iemocap,Ses01F,sad,sad,NEUTRAL,neutral,FALSE,,183.4884196,47.03714723,86.29567432,236.246056,0.00614106,0.221854305,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F020.wav,iemocap,Ses01F,sad,sad,SAD,sad,TRUE,,218.5770545,70.90209588,177.7110478,595.5235093,0.00656957,0.269487751,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_M001.wav,iemocap,Ses01F,sad,sad,SAD,sad,TRUE,,148.2261711,92.57904161,92.15464142,594.0728754,0.009071663,0.347222222,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_M003.wav,iemocap,Ses01F,neutral,neutral,SAD,sad,FALSE,,130.3217305,44.95066412,95.8181881,553.1922611,0.011784316,0.48177496,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_M005.wav,iemocap,Ses01F,sad,sad,SAD,sad,TRUE,,138.3160772,51.93470138,95.23182381,391.2639274,0.012204741,0.584521385,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_M008.wav,iemocap,Ses01F,neutral,neutral,SAD,sad,FALSE,,108.1709997,9.200407727,96.96000204,136.5325035,0.003532872,0.134615385,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_M009.wav,iemocap,Ses01F,sad,sad,SAD,sad,TRUE,,138.0551673,106.7661893,97.7056052,587.8782485,0.004891355,0.230769231,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_M010.wav,iemocap,Ses01F,sad,sad,SAD,sad,TRUE,,121.9943908,9.61543102,106.4560736,152.3886392,0.00431925,0.200956938,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_M011.wav,iemocap,Ses01F,sad,sad,SAD,sad,TRUE,,241.4048722,138.7492258,75.05843182,467.8166635,0.003110561,0.116352201,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_M012.wav,iemocap,Ses01F,neutral,neutral,SAD,sad,FALSE,,135.5983186,40.77252042,101.7908744,315.9732929,0.009493698,0.505376344,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_M013.wav,iemocap,Ses01F,sad,sad,SAD,sad,TRUE,,142.0185478,64.80422752,105.0480708,587.0898269,0.007427099,0.29787234,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_M014.wav,iemocap,Ses01F,sad,sad,SAD,sad,TRUE,,167.1706884,103.6309545,75.14418487,593.3208889,0.007705927,0.38209607,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_M015.wav,iemocap,Ses01F,neutral,neutral,SAD,sad,FALSE,,210.4408499,133.6016076,101.954394,530.8098887,0.009291925,0.508196721,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_M016.wav,iemocap,Ses01F,neutral,neutral,SAD,sad,FALSE,,359.1904452,139.678643,115.0921183,581.6592183,0.007497358,0.141552511,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F000.wav,iemocap,Ses01F,happy,happy,HAPPY,happy,TRUE,,192.5865484,50.05359385,107.7773351,350.4666663,0.031138225,0.657243816,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F001.wav,iemocap,Ses01F,happy,happy,HAPPY,happy,TRUE,,201.50116,66.65260362,161.3069143,576.0980385,0.02812288,0.476470588,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F002.wav,iemocap,Ses01F,happy,happy,HAPPY,happy,TRUE,,234.6753505,47.15702883,135.3165416,376.6009351,0.078279629,0.711462451,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F004.wav,iemocap,Ses01F,happy,happy,HAPPY,happy,TRUE,,246.5870945,55.94618226,85.11881043,403.981353,0.113860331,0.804289544,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F005.wav,iemocap,Ses01F,happy,happy,HAPPY,happy,TRUE,,244.524344,75.53490549,159.8478127,442.2370101,0.071005352,0.654901961,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F006.wav,iemocap,Ses01F,happy,happy,HAPPY,happy,TRUE,,178.5630535,35.17690879,75.82180923,427.6509406,0.035755254,0.817749604,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F008.wav,iemocap,Ses01F,happy,happy,HAPPY,happy,TRUE,,201.1830483,64.52130754,78.31336165,479.8281507,0.044759542,0.625,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F009.wav,iemocap,Ses01F,happy,happy,HAPPY,happy,TRUE,,205.9073427,47.4388372,127.2046952,281.1409855,0.052809644,0.704819277,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F010.wav,iemocap,Ses01F,happy,happy,HAPPY,happy,TRUE,,230.2687585,74.38066658,88.34257422,383.1704765,0.043559026,0.700315457,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F012.wav,iemocap,Ses01F,happy,happy,HAPPY,happy,TRUE,,313.9696365,132.1209893,158.6466611,584.6974497,0.04397995,0.431111111,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F013.wav,iemocap,Ses01F,happy,happy,HAPPY,happy,TRUE,,278.2939589,97.37380488,105.4479011,561.6827464,0.051039547,0.538310413,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F015.wav,iemocap,Ses01F,happy,happy,HAPPY,happy,TRUE,,258.2735122,94.13304082,133.4232188,567.5768937,0.063431159,0.566079295,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F016.wav,iemocap,Ses01F,happy,happy,HAPPY,happy,TRUE,,190.355896,37.92372242,104.63978,275.020461,0.026081266,0.698019802,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F017.wav,iemocap,Ses01F,neutral,neutral,NEUTRAL,neutral,TRUE,,231.1141522,71.68334237,81.92091487,396.6265123,0.019390652,0.572881356,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F018.wav,iemocap,Ses01F,neutral,neutral,HAPPY,happy,FALSE,,209.5070192,76.25039978,86.99963406,457.3620279,0.019995926,0.477508651,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F019.wav,iemocap,Ses01F,neutral,neutral,HAPPY,happy,FALSE,,178.7096284,21.64767132,146.0402345,240.9866189,0.007666497,0.304347826,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F021.wav,iemocap,Ses01F,happy,happy,HAPPY,happy,TRUE,,211.9747733,70.51703911,84.47688616,467.1076794,0.035631504,0.721915285,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F022.wav,iemocap,Ses01F,neutral,neutral,HAPPY,happy,FALSE,,150.1763094,36.50094074,75.00298507,210.3877774,0.012016231,0.531531532,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F023.wav,iemocap,Ses01F,neutral,neutral,NEUTRAL,neutral,TRUE,,148.3207371,49.03368017,90.34629153,238.2036438,0.006504688,0.308641975,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F024.wav,iemocap,Ses01F,happy,happy,HAPPY,happy,TRUE,,269.0411956,60.60019524,83.42420788,428.2738496,0.023841502,0.535469108,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F025.wav,iemocap,Ses01F,happy,happy,HAPPY,happy,TRUE,,213.6047616,61.59092114,84.75529291,445.6547359,0.043264572,0.764102564,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F026.wav,iemocap,Ses01F,happy,happy,HAPPY,happy,TRUE,,250.311194,97.27470334,84.63966741,506.6097522,0.032922655,0.48241206,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_M000.wav,iemocap,Ses01F,neutral,neutral,HAPPY,happy,FALSE,,228.229851,49.81172994,158.1277539,294.100496,0.017975571,0.247706422,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_M001.wav,iemocap,Ses01F,neutral,neutral,HAPPY,happy,FALSE,,151.8357027,39.66067426,107.395922,374.5169665,0.02273591,0.544554455,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_M003.wav,iemocap,Ses01F,happy,happy,HAPPY,happy,TRUE,,282.7756896,60.53380843,124.9823235,440.2465668,0.127711803,0.390862944,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_M006.wav,iemocap,Ses01F,neutral,neutral,HAPPY,happy,FALSE,,136.6033839,24.1725205,86.68154805,274.3629626,0.028378641,0.629268293,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_M007.wav,iemocap,Ses01F,happy,happy,HAPPY,happy,TRUE,,216.2388291,97.91248535,83.47246949,583.8563545,0.029591739,0.669117647,
C:\Users\nevo\.cache\kagglehub\datasets\dejolilandry\iemocapfullrelease\versions\1\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_M008.wav,iemocap,Ses01F,neutral,neutral,HAPPY,happy,FALSE,,198.644641,51.95455113,108.8705109,271.5461915,0.028857952,0.8125,
